umap_1,umap_2,cluster,batch,layer
4.598977,8.604313,5,0,WM
8.239554,7.943856,3,0,Layer_6
9.070599,8.231009,3,0,Layer_6
10.442129,7.8511333,1,0,Layer_5
11.788855,2.8434055,2,0,Layer_1
10.909763,7.621057,1,0,Layer_5
14.364739,4.8064446,0,0,Layer_3
11.95262,8.390753,1,0,Layer_5
13.451695,3.2996683,0,0,Layer_2
10.829006,6.544979,1,0,Layer_4
8.220724,7.973525,3,0,Layer_5
2.4777353,7.0688987,6,0,WM
12.615675,7.793438,4,0,Layer_4
2.4272568,7.267758,6,0,WM
10.962919,9.428712,1,0,Layer_5
11.637461,7.2128654,1,0,Layer_5
10.323026,4.1187086,2,0,Layer_1
12.258797,6.03522,4,0,Layer_4
9.898527,8.662722,1,0,Layer_5
14.38294,5.0859275,4,0,Layer_3
8.140822,9.614797,3,0,Layer_6
5.17073,7.249853,5,0,WM
10.071428,6.845478,1,0,Layer_3
13.964859,5.1619906,4,0,Layer_3
2.758312,7.0210247,5,0,WM
4.046761,6.716205,5,0,WM
10.398795,8.016141,1,0,Layer_5
12.356728,6.4858036,4,0,Layer_4
14.095373,4.3903112,0,0,Layer_3
3.932872,7.8833385,6,0,WM
12.675525,3.7195907,0,0,Layer_2
10.311135,7.7828445,1,0,Layer_5
9.50538,8.991765,1,0,Layer_5
3.924887,8.757549,6,0,WM
12.8934355,4.185513,0,0,Layer_3
11.670224,1.9156809,2,0,Layer_3
3.8342724,7.8852844,6,0,WM
4.3269877,8.447287,6,0,WM
10.767133,7.3924866,1,0,Layer_5
14.144322,2.7454274,0,0,Layer_2
6.106431,8.643172,3,0,Layer_6
11.37958,2.780281,2,0,Layer_1
13.511187,3.7635944,0,0,Layer_3
14.183036,7.3406305,4,0,Layer_3
10.082577,8.694289,1,0,Layer_5
9.800057,3.7312384,2,0,Layer_1
13.863178,5.283553,4,0,Layer_3
13.520602,4.936391,4,0,Layer_3
11.14787,3.3743653,2,0,Layer_1
10.827401,9.037195,1,0,Layer_5
14.187078,4.1564007,0,0,Layer_2
12.20107,3.9747243,0,0,Layer_3
13.076302,6.4521847,4,0,Layer_3
3.4689755,7.6928716,6,0,WM
13.905795,3.5904312,0,0,Layer_3
8.959616,8.062171,3,0,Layer_5
12.168681,8.250911,4,0,Layer_4
3.254188,7.615792,6,0,WM
13.388439,3.0779705,0,0,Layer_3
7.330836,7.788932,5,0,WM
10.386957,8.050812,1,0,Layer_5
11.314569,8.693975,1,0,Layer_5
11.674122,4.7552676,0,0,Layer_2
12.987803,7.0377045,4,0,Layer_4
14.121686,6.0211177,4,0,Layer_3
10.242058,8.188551,1,0,Layer_5
14.475689,6.622005,4,0,Layer_3
12.920833,6.2646904,4,0,Layer_3
12.127215,5.3440366,4,0,Layer_3
3.4472177,7.5273757,5,0,WM
2.5757964,7.5528426,6,0,WM
3.4849122,8.040511,6,0,WM
6.8001227,8.108306,3,0,Layer_6
8.119381,7.566988,3,0,Layer_6
4.6057324,7.772269,6,0,WM
10.578704,4.645564,2,0,Layer_1
7.7917733,8.007528,3,0,Layer_6
12.750138,7.6515393,1,0,Layer_4
3.252511,7.8580213,6,0,WM
8.23459,7.661495,3,0,Layer_6
10.397692,8.370645,1,0,Layer_5
7.8794518,7.2716017,3,0,Layer_6
10.712572,8.787244,1,0,Layer_5
13.714846,3.7741072,0,0,Layer_3
2.7416074,7.2959027,6,0,WM
13.7442665,5.242304,4,0,Layer_3
12.944346,5.9071417,4,0,Layer_3
2.951996,7.3936625,6,0,WM
12.891317,2.4065845,0,0,Layer_2
14.570301,4.4886136,4,0,Layer_3
10.4831,8.0365715,1,0,Layer_5
10.606303,8.615482,1,0,Layer_5
12.243492,1.4508113,2,0,Layer_1
8.288946,8.328144,3,0,Layer_6
10.548969,5.569517,4,0,Layer_3
11.347476,7.725625,1,0,Layer_5
8.743259,7.0835996,3,0,Layer_5
9.018771,8.93097,1,0,Layer_5
13.102399,5.9347844,4,0,Layer_3
8.787749,7.6959705,1,0,Layer_6
8.01756,8.850416,3,0,Layer_6
9.000354,9.265499,3,0,Layer_5
11.919335,3.215817,2,0,Layer_1
4.394687,7.028224,6,0,WM
13.770383,5.8064127,4,0,Layer_3
11.040344,9.269386,1,0,Layer_5
10.973296,7.858428,1,0,Layer_5
11.825099,7.154773,4,0,Layer_5
12.37987,5.8337393,4,0,Layer_3
3.285667,7.751556,6,0,WM
10.554516,4.452258,2,0,Layer_1
11.3404665,8.133523,1,0,Layer_5
12.307647,5.9659624,4,0,Layer_3
2.8446028,7.8907895,6,0,WM
10.218475,8.831886,1,0,Layer_5
14.542664,4.3268433,0,0,Layer_3
8.75546,8.730353,3,0,Layer_6
12.455071,5.0811243,0,0,Layer_3
9.009687,7.800972,3,0,Layer_6
13.548239,2.8207157,0,0,Layer_3
12.825019,3.6318636,0,0,Layer_2
4.538051,8.656514,5,0,WM
12.308612,2.2812307,2,0,Layer_2
3.2610703,8.39225,6,0,WM
12.501048,3.414199,0,0,Layer_3
12.727435,4.4712353,4,0,Layer_3
13.950167,5.0492463,4,0,Layer_3
12.010102,5.7513194,4,0,Layer_3
11.278965,7.2637177,4,0,Layer_5
4.1961007,8.649893,6,0,WM
7.6698685,6.542458,3,0,Layer_6
3.642999,6.3867674,5,0,WM
11.983804,8.651691,1,0,Layer_5
12.647592,6.105945,4,0,Layer_4
5.5567904,8.82063,5,0,Layer_6
12.457792,6.307978,4,0,Layer_3
6.40256,9.112029,3,0,Layer_6
7.6186256,9.789789,3,0,Layer_6
10.420571,9.023922,1,0,Layer_5
12.794868,5.3349223,4,0,Layer_3
12.6566725,5.059764,0,0,Layer_3
14.015978,5.0028048,4,0,Layer_3
9.667321,3.5661297,2,0,Layer_1
7.8572702,6.791074,3,0,Layer_6
12.829149,3.5140212,0,0,Layer_3
13.740955,2.609563,0,0,Layer_2
13.042987,4.9876513,4,0,Layer_3
4.3892765,8.845182,6,0,WM
12.031949,6.1233516,4,0,Layer_4
9.61993,6.864983,1,0,Layer_5
12.917482,4.4064226,0,0,Layer_3
8.538306,8.042444,3,0,Layer_6
14.00292,4.5541306,0,0,Layer_3
9.380908,7.0038147,1,0,Layer_5
11.671929,5.0892463,2,0,Layer_1
12.513276,2.8925602,0,0,Layer_3
11.270064,2.8188012,2,0,Layer_1
12.874096,1.7656591,0,0,Layer_2
12.676539,5.762293,4,0,Layer_4
6.0709043,8.124245,5,0,Layer_6
7.722719,5.8637576,3,0,Layer_5
5.5935783,8.005573,5,0,Layer_6
11.022671,9.08963,1,0,Layer_5
11.704957,5.884383,4,0,Layer_3
7.9698095,8.576395,3,0,Layer_6
13.830922,4.9275703,4,0,Layer_3
1.9620283,7.6057816,6,0,WM
8.178658,7.560868,3,0,Layer_6
13.912815,6.3919454,4,0,Layer_3
6.1671104,8.444164,5,0,Layer_6
7.2333593,7.6990423,3,0,Layer_6
9.717377,4.7215357,2,0,Layer_1
3.65683,8.443732,6,0,WM
10.318749,7.9012747,1,0,Layer_5
12.257847,6.1222982,4,0,Layer_3
12.658743,4.3938727,4,0,Layer_3
10.963703,4.3651752,0,0,Layer_3
3.2594585,7.577381,6,0,WM
9.677118,6.730058,3,0,Layer_6
9.135406,8.933654,3,0,Layer_6
11.437872,8.0613,1,0,Layer_5
10.835619,7.7836194,1,0,Layer_5
14.107926,5.077837,4,0,Layer_3
12.9743,3.8133578,0,0,Layer_3
3.2713947,7.1890974,6,0,WM
11.448229,2.437091,0,0,Layer_1
3.2010596,8.602662,6,0,WM
4.67818,8.530038,6,0,WM
12.327147,3.5960598,0,0,Layer_3
3.8407552,8.108788,6,0,WM
10.187115,8.843771,1,0,Layer_5
14.172021,4.2058854,0,0,Layer_3
8.246408,6.211718,5,0,Layer_6
14.096504,3.3635309,0,0,Layer_3
13.493501,4.3451977,0,0,Layer_3
2.6664877,7.3092933,6,0,WM
7.7850966,6.519418,3,0,Layer_6
11.619933,2.2549417,2,0,Layer_1
10.32408,8.77641,1,0,Layer_5
3.432516,8.331243,6,0,WM
10.682372,2.1263475,2,0,Layer_1
11.877178,5.4654927,4,0,Layer_3
3.5060527,7.858579,6,0,Layer_6
3.1997082,6.746364,6,0,WM
13.6807165,5.6270466,4,0,Layer_3
11.780323,9.005746,1,0,Layer_5
11.310968,8.824144,1,0,Layer_5
14.037746,5.8886538,4,0,Layer_3
7.921074,9.791766,3,0,Layer_6
12.868491,6.4925447,4,0,Layer_3
4.73408,7.339172,5,0,WM
14.34106,4.342107,0,0,Layer_3
13.415076,5.1034946,0,0,Layer_3
7.260003,5.7803636,3,0,Layer_6
12.584766,7.90554,1,0,Layer_4
12.764263,2.897058,0,0,Layer_3
7.8409796,7.496984,3,0,Layer_6
8.076294,7.0491037,3,0,Layer_6
7.75473,8.728207,3,0,Layer_6
7.6621814,5.7749896,3,0,Layer_6
13.474908,6.4554577,4,0,Layer_3
9.818567,8.278974,1,0,Layer_5
12.77746,3.7682333,0,0,Layer_3
12.2165365,3.9859622,0,0,Layer_3
9.855075,6.838889,1,0,Layer_5
14.31954,3.3523507,0,0,Layer_3
10.737389,7.033518,1,0,Layer_5
6.557512,7.7322736,3,0,Layer_6
5.4816546,7.1799464,5,0,Layer_6
9.67792,7.3993487,1,0,Layer_5
9.489686,3.5706244,2,0,Layer_1
3.6021833,7.3435507,6,0,WM
3.6822693,8.19392,6,0,Layer_6
9.249247,5.084296,0,0,Layer_1
12.396839,5.6281657,4,0,Layer_3
7.9322476,9.012194,3,0,Layer_6
13.809074,6.39419,4,0,Layer_3
11.455982,4.4340086,2,0,Layer_1
12.137218,8.10488,1,0,Layer_4
13.159551,2.928252,0,0,Layer_3
6.5677605,8.741204,3,0,Layer_6
7.775858,8.651559,3,0,Layer_6
12.195572,3.1277163,0,0,Layer_3
13.69241,4.408786,0,0,Layer_2
4.227799,7.9991937,5,0,WM
11.667564,5.90625,4,0,Layer_3
12.385798,5.802311,4,0,Layer_3
13.185331,4.1289606,0,0,Layer_2
2.59801,7.5405555,6,0,WM
10.576029,8.655348,1,0,Layer_5
9.239419,7.510571,3,0,Layer_6
13.003625,4.769588,0,0,Layer_3
13.414665,2.807583,0,0,Layer_2
14.433145,4.688608,0,0,Layer_3
13.522241,2.3589368,0,0,Layer_2
2.526097,7.5812516,6,0,WM
12.338997,6.3998713,4,0,Layer_3
4.0532875,8.210789,6,0,WM
10.505002,4.7682824,2,0,Layer_1
12.600581,6.231549,4,0,Layer_4
12.127637,8.140862,1,0,Layer_5
12.027619,3.111215,0,0,Layer_2
3.2390344,7.3168254,6,0,WM
2.701811,8.150106,6,0,WM
7.097628,7.047116,3,0,Layer_6
13.928266,6.07379,4,0,Layer_3
9.354902,7.0267596,1,0,Layer_6
8.258514,8.1077,3,0,Layer_6
4.9118495,7.0109224,6,0,WM
9.775813,8.564766,1,0,Layer_5
10.733117,8.900499,1,0,Layer_5
13.160516,5.092866,4,0,Layer_3
7.6981683,7.184858,3,0,Layer_6
14.078816,5.7648816,4,0,Layer_3
9.849956,7.6492515,1,0,Layer_5
12.76963,3.696651,0,0,Layer_3
3.6570594,7.362789,6,0,WM
12.278212,7.533719,4,0,Layer_4
7.072518,5.547468,5,0,WM
10.7822275,9.692417,1,0,Layer_5
10.403162,8.552536,1,0,Layer_5
11.842504,2.6206224,0,0,Layer_2
7.688923,8.8986,3,0,Layer_6
9.465777,8.7080345,3,0,Layer_6
12.552528,3.1716628,0,0,Layer_2
11.357833,3.159021,2,0,Layer_1
14.021457,4.3236074,0,0,Layer_3
10.260644,7.4943013,1,0,Layer_5
12.786837,3.4258745,0,0,Layer_3
11.429915,8.775408,1,0,Layer_5
12.263841,4.8287625,0,0,Layer_1
6.920853,8.429306,3,0,Layer_6
12.111765,6.595834,4,0,Layer_5
10.670494,7.8604345,1,0,Layer_5
11.268091,6.670027,4,0,Layer_4
9.845896,8.329615,1,0,Layer_5
7.83478,7.49841,3,0,Layer_6
12.553936,3.1657386,0,0,Layer_1
7.6527815,5.986253,3,0,Layer_5
7.787537,5.940257,3,0,Layer_5
14.074119,4.066154,0,0,Layer_3
14.334647,5.7953453,4,0,Layer_3
8.052837,8.383337,3,0,Layer_6
11.501386,8.953129,1,0,Layer_5
3.5172036,6.7583013,6,0,WM
11.997325,1.769067,2,0,Layer_2
3.8234155,8.182831,6,0,WM
12.719088,7.769612,1,0,Layer_5
10.411976,8.429405,1,0,Layer_5
5.5244145,6.244005,5,0,WM
4.1683145,7.568338,5,0,Layer_6
10.805318,7.84646,1,0,Layer_5
5.244484,8.02025,5,0,WM
10.28296,6.5054436,1,0,Layer_5
12.231906,1.6013312,0,0,Layer_1
13.300855,6.155028,4,0,Layer_3
11.499808,3.7446272,0,0,Layer_3
12.509851,3.1155465,0,0,Layer_2
6.0677633,6.1279287,5,0,Layer_6
11.40349,6.0999165,4,0,Layer_3
6.993942,6.9293065,3,0,Layer_6
10.234571,8.621763,1,0,Layer_5
13.604897,3.3269007,0,0,Layer_3
8.293502,8.253321,3,0,Layer_5
12.985802,5.991929,4,0,Layer_3
4.1705375,7.771451,6,0,WM
12.821421,2.6287699,0,0,Layer_2
13.209947,3.2734153,0,0,Layer_2
9.067874,8.825691,1,0,Layer_5
3.95836,7.9770737,6,0,WM
2.9332378,8.046131,6,0,WM
11.686191,8.494232,1,0,Layer_5
3.2071052,7.536849,6,0,WM
8.1031275,8.057999,3,0,Layer_5
12.439573,6.0444546,4,0,Layer_4
13.300688,2.5018342,0,0,Layer_2
12.0766735,7.8743553,1,0,Layer_4
11.399309,5.7912035,4,0,Layer_3
13.392815,5.3197722,4,0,Layer_3
10.6904545,3.1147904,2,0,Layer_1
13.320786,4.707613,0,0,Layer_3
12.7771635,3.049725,0,0,Layer_2
8.75371,7.9491034,3,0,Layer_5
7.733,9.524301,3,0,Layer_6
12.123774,4.694813,0,0,Layer_3
9.603348,7.1969457,1,0,Layer_5
9.283951,7.1611385,1,0,Layer_5
12.848068,6.079343,4,0,Layer_3
11.108856,9.671574,1,0,Layer_6
11.072945,8.654872,1,0,Layer_5
14.168535,5.261472,0,0,Layer_3
13.39635,5.944271,4,0,Layer_3
2.570905,7.831702,6,0,WM
11.277683,3.6250818,2,0,Layer_1
7.771342,7.9646144,3,0,Layer_6
5.9904337,5.857295,5,0,WM
9.568099,7.2564464,1,0,Layer_5
13.543573,6.3440423,4,0,Layer_4
3.1777127,6.7832265,6,0,WM
3.5342836,8.062845,6,0,WM
7.759174,8.156547,3,0,Layer_6
10.512739,8.171588,1,0,Layer_5
10.32821,7.797221,1,0,Layer_5
10.481238,7.367885,1,0,Layer_5
9.855869,7.617007,1,0,Layer_6
6.3956203,8.12314,3,0,Layer_6
12.215372,6.289202,4,0,Layer_3
3.1508949,7.6735005,6,0,WM
11.178345,9.118958,1,0,Layer_5
7.7716784,7.2244997,3,0,Layer_6
12.603087,5.976602,4,0,Layer_3
11.032418,8.871758,1,0,Layer_5
8.129523,9.204008,3,0,Layer_6
3.3190987,8.203497,6,0,WM
4.7658024,7.829303,6,0,Layer_6
12.068936,7.4792514,4,0,Layer_3
3.8737066,7.9883776,6,0,WM
14.925677,4.0537114,0,0,Layer_3
3.7528517,7.8921967,6,0,WM
4.355351,8.005681,6,0,Layer_6
11.635547,4.7803073,0,0,Layer_3
4.227795,8.6834955,6,0,WM
12.220043,8.026862,1,0,Layer_4
9.707983,8.500905,1,0,Layer_5
2.2437825,6.7804527,6,0,WM
13.047466,3.1112516,0,0,Layer_3
7.000719,8.341805,5,0,Layer_6
12.493101,7.417319,4,0,Layer_4
13.379333,4.1415987,0,0,Layer_3
7.5203757,6.9487634,3,0,Layer_6
2.8904474,7.5349455,6,0,Layer_6
12.077543,4.442412,0,0,Layer_3
8.79753,7.7076144,3,0,Layer_6
13.271916,3.6323385,0,0,Layer_2
11.365869,4.257661,0,0,Layer_1
10.584162,3.3048596,2,0,Layer_1
7.1749387,8.175323,3,0,Layer_6
12.4498205,2.9043944,0,0,Layer_3
2.6413903,7.607559,6,0,WM
12.561878,6.22315,4,0,Layer_3
13.207207,8.347691,4,0,Layer_3
12.327075,7.805943,4,0,Layer_4
13.73102,3.0112624,0,0,Layer_3
10.632834,7.2567306,1,0,Layer_5
8.645586,7.869196,3,0,Layer_6
12.677919,7.14127,4,0,Layer_4
13.742481,4.7150474,0,0,Layer_3
6.117167,8.161947,5,0,Layer_6
12.638943,7.7153897,4,0,Layer_5
4.694159,7.750612,6,0,WM
10.967522,2.9563699,2,0,Layer_1
12.042631,2.6140532,2,0,Layer_2
8.232936,9.1972065,3,0,Layer_6
10.41637,4.287317,2,0,Layer_1
7.9394546,7.3200665,3,0,Layer_6
10.088943,7.8003182,1,0,Layer_5
12.157703,5.7527766,4,0,Layer_3
3.618726,8.187288,6,0,WM
14.120439,6.8957543,4,0,Layer_3
13.493509,5.422733,4,0,Layer_3
8.062413,6.9246664,3,0,Layer_6
12.894345,6.0456653,4,0,Layer_4
5.9630976,7.540836,5,0,Layer_6
10.396144,4.19733,2,0,Layer_1
11.906389,2.0940819,2,0,Layer_2
11.533224,8.560836,1,0,Layer_5
5.2311735,8.132338,5,0,WM
13.06272,5.414913,4,0,Layer_3
9.889661,9.082952,1,0,Layer_5
11.822668,7.9925814,4,0,Layer_3
4.827408,8.099609,5,0,Layer_6
12.512332,6.212132,4,0,Layer_3
2.9947171,7.624034,6,0,WM
11.287423,1.7748516,2,0,Layer_2
8.225748,8.835706,4,0,Layer_4
4.6868577,8.701292,6,0,WM
11.361556,5.6706743,4,0,Layer_3
13.131768,4.703703,0,0,Layer_3
10.908338,2.4033391,2,0,Layer_1
13.338544,3.937833,0,0,Layer_3
9.308288,8.319101,5,0,Layer_6
13.202796,3.356572,0,0,Layer_2
12.931165,5.9828515,4,0,Layer_3
7.928529,5.775295,3,0,Layer_6
12.466279,5.645175,4,0,Layer_3
8.461462,8.567362,3,0,Layer_6
4.4731755,7.932366,5,0,WM
13.9549,6.385247,4,0,Layer_3
3.6970334,7.7428136,6,0,WM
12.105765,8.47701,1,0,Layer_5
11.699219,6.6807613,4,0,Layer_3
11.403956,9.345465,1,0,Layer_5
8.059291,5.6438985,3,0,Layer_6
12.427502,4.0873528,0,0,Layer_3
13.012601,6.829734,4,0,Layer_3
3.4837844,8.112161,6,0,WM
10.328948,8.862246,1,0,Layer_5
14.21008,5.506303,4,0,Layer_3
7.1552024,7.747112,3,0,Layer_6
10.2605295,4.7399063,2,0,Layer_1
14.095738,5.9958515,4,0,Layer_3
7.656541,7.2824407,3,0,Layer_6
10.323879,8.518557,1,0,Layer_5
13.9489155,3.1405072,0,0,Layer_2
3.890088,7.6360416,6,0,WM
11.644461,9.219115,1,0,Layer_5
6.476639,8.790953,3,0,Layer_6
13.215357,4.384338,0,0,Layer_3
11.509065,7.6964765,1,0,Layer_4
2.259594,7.747367,6,0,WM
14.034067,5.8484178,0,0,Layer_3
12.076268,1.2233355,2,0,Layer_1
11.069081,8.062312,1,0,Layer_5
11.157178,9.4419565,1,0,Layer_5
12.578281,5.387326,0,0,Layer_3
12.76764,6.296769,4,0,Layer_4
8.238529,6.0948243,5,0,Layer_6
13.000307,2.5747619,0,0,Layer_3
10.945171,1.9695779,2,0,Layer_1
13.448,5.5981584,4,0,Layer_3
11.997165,4.60082,0,0,Layer_3
11.686206,7.162994,4,0,Layer_4
5.5110993,7.20348,5,0,Layer_6
11.674206,4.2862496,0,0,Layer_1
3.1127698,7.9639783,6,0,WM
6.8114643,7.7309833,5,0,Layer_6
2.933792,7.3998423,6,0,WM
6.2518024,8.17202,5,0,Layer_6
12.220264,6.4822,4,0,Layer_5
13.70204,5.521291,4,0,Layer_3
9.741302,3.269317,2,0,Layer_1
11.35348,3.4492707,4,0,Layer_3
9.878183,4.420986,2,0,Layer_1
13.833648,5.562835,4,0,Layer_3
13.3399,6.8691607,4,0,Layer_3
11.252289,8.454791,1,0,Layer_5
11.250792,8.123591,1,0,Layer_5
5.2743454,7.1291637,5,0,Layer_6
14.519466,4.207363,0,0,Layer_3
11.898947,7.497398,4,0,Layer_4
13.005261,6.1492624,4,0,Layer_3
3.7198443,8.56117,6,0,WM
13.170604,5.3994904,0,0,Layer_3
3.8367553,7.937323,6,0,WM
11.637754,3.9783356,0,0,Layer_3
12.769298,8.762986,3,0,Layer_5
10.350138,7.9813356,1,0,Layer_5
13.575572,4.979751,4,0,Layer_3
4.4700193,8.347574,5,0,WM
3.5823433,8.028505,5,0,WM
11.277386,9.468444,1,0,Layer_5
13.68296,6.20016,4,0,Layer_3
13.153907,5.23623,4,0,Layer_3
13.171296,5.692386,4,0,Layer_3
4.6883845,8.669848,5,0,WM
11.147451,9.288401,1,0,Layer_5
11.846257,5.7091093,4,0,Layer_3
5.5197463,8.0075245,5,0,WM
13.292391,5.455864,4,0,Layer_3
11.156881,7.9807596,1,0,Layer_5
12.7408,7.3873606,4,0,Layer_4
12.302137,6.09062,4,0,Layer_3
11.166911,7.9393635,3,0,Layer_5
7.9112678,6.693845,3,0,Layer_6
13.136835,7.0079913,4,0,Layer_3
10.929403,5.960005,0,0,Layer_1
11.872928,5.065529,4,0,Layer_3
7.6993985,8.270234,3,0,Layer_6
13.071396,7.2783837,4,0,Layer_4
3.050589,7.900912,6,0,WM
11.21746,5.263464,4,0,Layer_3
13.725136,5.68418,4,0,Layer_3
13.122487,3.5486648,0,0,Layer_3
7.997388,8.113412,3,0,Layer_5
6.3578014,8.892592,3,0,Layer_6
10.493011,5.0750527,2,0,Layer_1
10.67539,2.0964994,2,0,Layer_1
8.426564,7.6910543,3,0,Layer_6
11.2814455,3.869942,0,0,Layer_2
11.769152,5.3843393,4,0,Layer_3
9.430474,6.4059467,1,0,Layer_5
12.780744,4.9342546,4,0,Layer_3
5.854084,7.7413325,5,0,WM
10.3528805,2.3448987,2,0,Layer_1
6.1994934,7.522628,3,0,Layer_6
12.865195,2.9497364,0,0,Layer_3
8.06989,8.202197,3,0,Layer_6
13.142538,4.1716313,0,0,Layer_3
7.967489,8.803082,3,0,Layer_5
